,AS_Number
1636,17488
1637,
1638,
1639,17488
1640,
1641,17488
1642,23456
1643,19429
1644,17465
1645,36866
1646,17465
1647,17813
1648,17813
1649,17813
1650,17813
1651,19429
1652,19429
1653,19429
1654,19429
1655,19429
1656,17813
1657,263137
1658,263137
1659,17813
1660,
1661,58054
1662,4134
1663,17488
1664,17488
1665,7545
1666,4134
1667,4837
1668,38625
1669,38625
1670,4837
1671,17813
1672,17813
1673,17488
1674,17813
1675,4837
1676,17813
1677,17813
1678,17813
1679,17813
1680,17488
1681,17488
1682,17488
1683,17488
1684,17488
1685,17488
1686,17488
1687,17488
1688,17488
1689,17488
1690,17488
1691,17488
1692,17488
1693,701
1694,17488
1695,17488
1696,17488
1697,17488
1698,17488
1699,17488
1700,17488
1701,17488
1702,17488
1703,17488
1704,17488
1705,17488
1706,17488
1707,17488
1708,17488
1709,17488
1710,17488
1711,17488
1712,17488
1713,
1714,
1715,17488
1716,17488
1717,
1718,
1719,
1720,
1721,
1722,
1723,
1724,17488
1725,17488
1726,17488
1727,17488
1728,17488
1729,17488
1730,17488
1731,17488
1732,17488
1733,17488
1734,17488
1735,17488
1736,17488
1737,17488
1738,17488
1739,17488
1740,17488
1741,17488
1742,17488
1743,17488
1744,17488
1745,17488
1746,17488
1747,17488
1748,17488
1749,17488
1750,17488
1751,17488
1752,17488
1753,17488
1754,17488
1755,17488
1756,17488
1757,17488
1758,17488
1759,17488
1760,17488
1761,17488
1762,17488
1763,17488
1764,17488
1765,17488
1766,17488
1767,17488
1768,17488
1769,17488
1770,17488
1771,17488
1772,17488
1773,17488
1774,17488
1775,17488
1776,17488
1777,46433
1778,17488
1779,17488
1780,17488
1781,17488
1782,17488
1783,17488
1784,17488
1785,17488
1786,17488
1787,17488
1788,17488
1789,17488
1790,17488
1791,17488
1792,17488
1793,17488
1794,17488
1795,17488
1796,17488
1797,17488
1798,17488
1799,17488
1800,17488
1801,17488
1802,17488
1803,17488
1804,17488
1805,17488
1806,17488
1807,17488
1808,17488
1809,17488
1810,17488
1811,17488
1812,17488
1813,17488
1814,17488
1815,17488
1816,17488
1817,17488
1818,17488
1819,17488
1820,17488
1821,17488
1822,17488
1823,17488
1824,17488
1825,
1826,17488
1827,17488
1828,17488
1829,
1830,
1831,24139
1832,4837
1833,17488
1834,4837
1835,4837
1836,17488
1837,
1838,4766
1839,9737
1840,
1841,
1842,
1843,4837
1844,6461
1845,
1846,
1847,9808
1848,13335
1849,17488
1850,9121
1851,9121
1852,
1853,17488
1854,
1855,
1856,
1857,17488
1858,
1859,47381
1860,
1861,37153
1862,37153
1863,
1864,
1865,17488
1866,
1867,
1868,
1869,17488
1870,54290
1871,
1872,
1873,17488
1874,17488
1875,
1876,17488
1877,17488
1878,17488
1879,17488
1880,
1881,17488
1882,17488
1883,
1884,17488
1885,17488
1886,
1887,17488
1888,
1889,17488
1890,17488
1891,17488
1892,17488
1893,
1894,
1895,
1896,17488
1897,17488
1898,
1899,
1900,
1901,
1902,17813
1903,
1904,17813
1905,17488
1906,17488
1907,17488
1908,17813
1909,17813
1910,17813
1911,17813
1912,17813
1913,17813
1914,37203
